GAME_ID,GAME_ID_AWAY_TEAM_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_FL,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID
ARI201807020,ARI201807020SLN,SLN,1,0,0,0,0,X,0,0,carpm002,L,carpm002,L,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,,,D9/L,T,F,3,1,21,T,T,2,F,F,0,F,F,0,F,F,9,L,F,F,,0,0,N,0,N,0,N,2,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,1
ARI201807020,ARI201807020SLN,SLN,1,0,0,3,2,FBC*BB*B,0,0,phamt001,R,phamt001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,carpm002,,W,F,F,8,2,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,2,0,,,,,F,F,F,F,F,F,F,F,F,,ray-r002,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,2
ARI201807020,ARI201807020SLN,SLN,1,0,0,0,0,X,0,0,oneit001,R,oneit001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,phamt001,carpm002,,S7/G+.2-3;1-2,F,F,9,3,20,T,T,1,F,F,0,F,F,0,F,F,7,G,F,F,,0,0,N,0,N,0,N,1,2,3,0,,,,,F,F,F,F,F,F,F,F,F,ray-r002,ray-r002,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,3
ARI201807020,ARI201807020SLN,SLN,1,0,0,2,2,SFFB*BC,0,0,ozunm001,R,ozunm001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,oneit001,phamt001,carpm002,K,F,F,7,4,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,3,2,,,,F,F,F,F,F,F,F,F,F,ray-r002,ray-r002,ray-r002,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,4
ARI201807020,ARI201807020SLN,SLN,1,0,1,0,2,CFFFX,0,0,moliy001,R,moliy001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,oneit001,phamt001,carpm002,S8/L.3-H;2-H;1-2,F,F,2,5,20,T,T,1,F,F,0,F,F,2,F,F,8,L,F,F,,0,0,N,0,N,0,N,1,2,4,4,,,,,F,F,F,F,F,F,F,F,F,ray-r002,ray-r002,ray-r002,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,5
ARI201807020,ARI201807020SLN,SLN,1,0,1,1,2,SCFBFX,2,0,gyorj001,R,gyorj001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,moliy001,oneit001,,S8/L.2-H;1-2,F,F,5,6,20,T,T,1,F,F,0,F,F,1,F,F,8,L,F,F,,0,0,N,0,N,0,N,1,2,4,0,,,,,F,F,F,F,F,F,F,F,F,ray-r002,ray-r002,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,6
ARI201807020,ARI201807020SLN,SLN,1,0,1,0,1,FX,3,0,munoy001,R,munoy001,R,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,gyorj001,moliy001,,D9/L.2-H;1XH(942);B-3(TH),F,F,6,7,21,T,T,2,F,F,1,F,F,1,F,F,9,L,F,F,,0,0,N,0,N,0,N,3,0,4,0,,942,,,F,F,F,F,F,F,F,F,F,ray-r002,ray-r002,,F,F,F,F,F,,,,,0,2,0,0,9,4,0,0,0,7
ARI201807020,ARI201807020SLN,SLN,1,0,2,2,0,BBX,4,0,wongk001,L,wongk001,L,ray-r002,L,ray-r002,L,murpj001,goldp001,descd001,lambj001,ahmen001,perad001,polla001,jay-j001,,,munoy001,3/G,F,F,4,8,2,T,T,0,F,F,1,F,F,0,F,F,3,G,F,F,,0,0,N,0,N,0,N,0,0,0,3,3,,,,F,F,F,F,F,F,F,F,F,,,ray-r002,F,F,F,F,F,,,,,0,3,0,0,0,0,0,0,0,8
ARI201807020,ARI201807020SLN,SLN,1,1,0,0,2,CTX,4,0,jay-j001,L,jay-j001,L,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,,,,E5/G,T,F,9,1,18,T,T,0,F,F,0,F,F,0,F,F,5,G,F,F,,1,5,F,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,9
ARI201807020,ARI201807020SLN,SLN,1,1,0,1,0,BB,4,0,goldp001,R,goldp001,R,martc006,R,martc006,R,moliy001,carpm002,wongk001,gyorj001,munoy001,ozunm001,phamt001,oneit001,jay-j001,,,WP.1-2,F,F,3,2,9,F,F,0,F,F,0,F,F,0,T,F,0,,F,F,,0,0,N,0,N,0,N,0,2,0,0,,,,,F,F,F,F,F,F,F,F,F,martc006,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,10
